Appareil suivi;Consommation annuelle AN1 + AN2;Type
Eau chaude sanitaire;1833.7;JOULE
Eau chaude sanitaire;1804.7;JOULE
Eau chaude sanitaire;1785.0;JOULE
Eau chaude sanitaire;1778.0;JOULE
Eau chaude sanitaire;1549.5;JOULE
Eau chaude sanitaire;1536.4;JOULE
Eau chaude sanitaire;1499.8;JOULE
Eau chaude sanitaire;1493.0;JOULE
Eau chaude sanitaire;1345.6;JOULE
Eau chaude sanitaire;1314.8;JOULE
Eau chaude sanitaire;1198.2;JOULE
Eau chaude sanitaire;1178.1;JOULE
Eau chaude sanitaire;1075.8;JOULE
Eau chaude sanitaire;1062.3;JOULE
Eau chaude sanitaire;296.5;JOULE
Imprimantes;55.2;JET D'ENCRE
Imprimantes;34.8;JET D'ENCRE
Imprimantes;34.3;JET D'ENCRE
Imprimantes;24.5;JET D'ENCRE
Imprimantes;23.3;JET D'ENCRE
Imprimantes;22.6;JET D'ENCRE
Imprimantes;21.2;JET D'ENCRE
Imprimantes;19.2;JET D'ENCRE
Imprimantes;18.5;JET D'ENCRE
Imprimantes;17.6;JET D'ENCRE
Imprimantes;16.9;JET D'ENCRE
Imprimantes;10.5;JET D'ENCRE
Imprimantes;9.3;JET D'ENCRE
Imprimantes;5.8;JET D'ENCRE
Imprimantes;5.6;JET D'ENCRE
Imprimantes;5.3;JET D'ENCRE
Imprimantes;3.5;JET D'ENCRE
Imprimantes;3.5;JET D'ENCRE
Imprimantes;3.2;JET D'ENCRE
Imprimantes;2.9;JET D'ENCRE
Imprimantes;2.7;JET D'ENCRE
Imprimantes;2.4;JET D'ENCRE
Imprimantes;1.2;JET D'ENCRE
Imprimantes;1.0;JET D'ENCRE
Imprimantes;1.0;JET D'ENCRE
Imprimantes;0.7;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.2;JET D'ENCRE
Plaques cuisson;829.5;INDUCTION
Plaques cuisson;652.7;INDUCTION
Plaques cuisson;640.3;INDUCTION
Plaques cuisson;518.2;INDUCTION
Plaques cuisson;504.8;INDUCTION
Plaques cuisson;463.0;INDUCTION
Plaques cuisson;401.0;INDUCTION
Plaques cuisson;340.8;INDUCTION
Plaques cuisson;316.0;INDUCTION
Plaques cuisson;282.1;INDUCTION
Plaques cuisson;279.2;INDUCTION
Plaques cuisson;268.7;INDUCTION
Plaques cuisson;224.2;INDUCTION
Plaques cuisson;195.1;INDUCTION
Plaques cuisson;173.2;INDUCTION
Plaques cuisson;151.7;INDUCTION
Plaques cuisson;151.0;INDUCTION
Plaques cuisson;150.6;INDUCTION
Plaques cuisson;149.0;INDUCTION
Plaques cuisson;145.5;INDUCTION
Plaques cuisson;101.4;INDUCTION
Plaques cuisson;34.8;INDUCTION
Audio_TV;174.9;Home Cinema
Audio_TV;24.0;Home Cinema
Audio_TV;19.9;Home Cinema
Audio_TV;6.9;Home Cinema
Audio_TV;2.2;Home Cinema
Audio_TV;0.5;Home Cinema
Lave linge;882.7;HUBLOT
Lave linge;661.3;HUBLOT
Lave linge;648.2;HUBLOT
Lave linge;508.1;HUBLOT
Lave linge;503.7;HUBLOT
Lave linge;492.4;HUBLOT
Lave linge;421.6;HUBLOT
Lave linge;386.5;HUBLOT
Lave linge;385.6;HUBLOT
Lave linge;286.7;HUBLOT
Lave linge;278.7;HUBLOT
Lave linge;277.8;HUBLOT
Lave linge;277.5;HUBLOT
Lave linge;271.4;HUBLOT
Lave linge;269.3;HUBLOT
Lave linge;255.5;HUBLOT
Lave linge;251.2;HUBLOT
Lave linge;250.4;HUBLOT
Lave linge;247.3;HUBLOT
Lave linge;239.7;HUBLOT
Lave linge;224.3;HUBLOT
Lave linge;223.2;HUBLOT
Lave linge;220.4;HUBLOT
Lave linge;212.1;HUBLOT
Lave linge;208.6;HUBLOT
Lave linge;202.1;HUBLOT
Lave linge;199.8;HUBLOT
Lave linge;199.5;HUBLOT
Lave linge;192.0;HUBLOT
Lave linge;180.5;HUBLOT
Lave linge;166.2;HUBLOT
Lave linge;164.1;HUBLOT
Lave linge;155.8;HUBLOT
Lave linge;142.3;HUBLOT
Lave linge;141.3;HUBLOT
Lave linge;126.1;HUBLOT
Lave linge;121.2;HUBLOT
Lave linge;120.3;HUBLOT
Lave linge;119.0;HUBLOT
Lave linge;117.0;HUBLOT
Lave linge;116.6;HUBLOT
Lave linge;115.7;HUBLOT
Lave linge;115.5;HUBLOT
Lave linge;112.1;HUBLOT
Lave linge;106.1;HUBLOT
Lave linge;102.2;HUBLOT
Lave linge;98.0;HUBLOT
Lave linge;94.8;HUBLOT
Lave linge;84.9;HUBLOT
Lave linge;80.0;HUBLOT
Lave linge;77.9;HUBLOT
Lave linge;76.4;HUBLOT
Lave linge;49.3;HUBLOT
Lave linge;45.6;HUBLOT
Lave linge;35.2;HUBLOT
Lave linge;34.4;HUBLOT
Lave linge;29.8;HUBLOT
Lave linge;27.0;HUBLOT
Lave linge;20.2;HUBLOT
Piscines;3728.0;HORS SOL
Piscines;3382.0;HORS SOL
Piscines;474.8;HORS SOL
Piscines;266.6;HORS SOL
Hifi;10.4;HIFI 2
Hifi;298.5;HIFI
Hifi;264.2;HIFI
Hifi;165.9;HIFI
Hifi;139.6;HIFI
Hifi;135.7;HIFI
Hifi;134.9;HIFI
Hifi;121.1;HIFI
Hifi;107.1;HIFI
Hifi;98.1;HIFI
Hifi;95.9;HIFI
Hifi;87.2;HIFI
Hifi;63.9;HIFI
Hifi;45.0;HIFI
Hifi;31.2;HIFI
Hifi;30.4;HIFI
Hifi;27.1;HIFI
Hifi;27.0;HIFI
Hifi;17.2;HIFI
Hifi;12.6;HIFI
Hifi;9.6;HIFI
Hifi;9.4;HIFI
Hifi;8.7;HIFI
Hifi;7.6;HIFI
Hifi;6.7;HIFI
Hifi;5.4;HIFI
Hifi;4.6;HIFI
Hifi;4.1;HIFI
Hifi;3.1;HIFI
Hifi;3.0;HIFI
Hifi;2.2;HIFI
Hifi;2.0;HIFI
Hifi;1.8;HIFI
Hifi;1.3;HIFI
Divers cuisine;10.6;GRILLE PAIN
Divers cuisine;6.6;GRILLE PAIN
Chaudieres;1067.8;GAZ
Chaudieres;931.7;GAZ
Chaudieres;721.6;GAZ
Chaudieres;654.2;GAZ
Chaudieres;566.5;GAZ
Chaudieres;488.9;GAZ
Chaudieres;460.9;GAZ
Chaudieres;429.9;GAZ
Chaudieres;405.1;GAZ
Chaudieres;402.3;GAZ
Chaudieres;395.2;GAZ
Chaudieres;392.0;GAZ
Chaudieres;292.1;GAZ
Chaudieres;278.0;GAZ
Chaudieres;267.9;GAZ
Chaudieres;249.0;GAZ
Chaudieres;203.9;GAZ
Chaudieres;192.7;GAZ
Chaudieres;186.3;GAZ
Chaudieres;168.1;GAZ
Chaudieres;133.4;GAZ
Chaudieres;122.0;GAZ
Chaudieres;102.5;GAZ
Divers cuisine;47.5;FRITEUSE
Divers cuisine;43.8;FRITEUSE
Divers cuisine;29.3;FRITEUSE
Cuisinieres;542.3;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;509.6;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;443.9;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;418.9;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;385.6;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;340.1;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;279.3;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;208.8;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;147.6;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;46.0;FOUR+PLAQUES eLECTRIQUES
Cuisinieres;483.1;FOUR eLECTRIQUE + PLAQUES GAZ + 1 PLAQUE eLECTRIQUE
Cuisinieres;255.5;FOUR eLECTRIQUE + PLAQUES GAZ + 1 PLAQUE eLECTRIQUE
Cuisinieres;224.3;FOUR eLECTRIQUE + PLAQUES GAZ + 1 PLAQUE eLECTRIQUE
Cuisinieres;280.8;FOUR eLECTRIQUE + PLAQUES GAZ
Plaques cuisson;199.1;FONTE
Chaudieres;1688.6;FIOUL
Chaudieres;978.2;FIOUL
Chaudieres;904.7;FIOUL
Chaudieres;214.1;FIOUL
Chaudieres;203.8;FIOUL
Repassage;85.0;FER e REPASSER
Repassage;55.7;FER e REPASSER
Seche linge;2390.5;EVACUATION
Seche linge;851.2;EVACUATION
Seche linge;831.6;EVACUATION
Seche linge;320.9;EVACUATION
Seche linge;257.2;EVACUATION
Piscines;6820.5;ENTERReE
Piscines;2736.0;ENTERReE
Clim_mob_rafraich_Deshum;2781.8;DeSHUMIDIFCATEUR
Clim_mob_rafraich_Deshum;191.8;DeSHUMIDIFCATEUR
Periph_multimedia;227.6;DeCODEUR
Periph_multimedia;225.2;DeCODEUR
Periph_multimedia;195.6;DeCODEUR
Periph_multimedia;85.8;DeCODEUR
Periph_multimedia;15.9;DeCODEUR
Divers cuisine;37.2;CUISSEUR VAPEUR
Divers cuisine;34.2;CUISSEUR VAPEUR
Divers cuisine;1.4;CUISSEUR VAPEUR
Seche linge;1332.4;CONDENSATION
Seche linge;902.6;CONDENSATION
Seche linge;817.3;CONDENSATION
Seche linge;583.7;CONDENSATION
Seche linge;577.9;CONDENSATION
Seche linge;548.1;CONDENSATION
Seche linge;504.2;CONDENSATION
Seche linge;469.9;CONDENSATION
Seche linge;249.9;CONDENSATION
Seche linge;150.2;CONDENSATION
Seche linge;144.7;CONDENSATION
Seche linge;135.1;CONDENSATION
Seche linge;21.1;CONDENSATION
Congelateur;1477.2;COFFRE
Congelateur;1260.5;COFFRE
Congelateur;1152.7;COFFRE
Congelateur;876.6;COFFRE
Congelateur;644.1;COFFRE
Congelateur;639.9;COFFRE
Congelateur;560.1;COFFRE
Congelateur;443.7;COFFRE
Congelateur;441.1;COFFRE
Congelateur;431.4;COFFRE
Congelateur;358.9;COFFRE
Congelateur;343.8;COFFRE
Congelateur;292.5;COFFRE
Congelateur;272.0;COFFRE
Congelateur;250.8;COFFRE
Congelateur;236.6;COFFRE
Clim_mob_rafraich_Deshum;85.9;CLIMATISEUR SUR PRISE
Eau chaude sanitaire;1854.5;CETI
Eau chaude sanitaire;1667.2;CETI
Eau chaude sanitaire;1333.6;CETI
Repassage;72.7;CENTRALE VAPEUR DE REPASSAGE
Repassage;72.1;CENTRALE VAPEUR DE REPASSAGE
Repassage;64.0;CENTRALE VAPEUR DE REPASSAGE
Repassage;61.6;CENTRALE VAPEUR DE REPASSAGE
Repassage;46.4;CENTRALE VAPEUR DE REPASSAGE
Repassage;46.3;CENTRALE VAPEUR DE REPASSAGE
Repassage;29.5;CENTRALE VAPEUR DE REPASSAGE
Repassage;22.9;CENTRALE VAPEUR DE REPASSAGE
Repassage;21.3;CENTRALE VAPEUR DE REPASSAGE
Repassage;0.0;CENTRALE VAPEUR DE REPASSAGE
Securite;264.0;CAMeRA WIFI
Audio_TV;13.3;Barre De Son 2
Audio_TV;38.9;Barre De Son
Audio_TV;27.7;Barre De Son
Audio_TV;15.6;Barre De Son
Audio_TV;15.4;Barre De Son
Loisirs;75.1;Balneo
Divers cuisine;2.8;BLENDER
Loisirs;90.3;Aquarium juste pompe
Loisirs;1642.0;Aquarium avec chauffage
Loisirs;1554.7;Aquarium avec chauffage
Loisirs;52.1;Adoucisseur
Loisirs;28.2;Adoucisseur
Periph_info_bureautique;24.5;ASSISTANT VOCAL
Nettoyage_sols;4.0;ASPIRATEUR e MAIN
Nettoyage_sols;39.4;ASPIRATEUR ROBOT
Nettoyage_sols;31.0;ASPIRATEUR ROBOT
Nettoyage_sols;12.1;ASPIRATEUR ROBOT
Nettoyage_sols;6.1;ASPIRATEUR ROBOT
Nettoyage_sols;18.4;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;17.1;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;10.5;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;9.6;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;8.6;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;6.6;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;1.7;ASPIRATEUR RECHARGEABLE
Nettoyage_sols;90.7;ASPIRATEUR FILAIRE
Nettoyage_sols;30.7;ASPIRATEUR FILAIRE
Nettoyage_sols;6.4;ASPIRATEUR FILAIRE
Nettoyage_sols;69.3;ASPIRATEUR CENTRALISe
Nettoyage_sols;13.5;ASPIRATEUR CENTRALISe
Congelateur;1784.5;ARMOIRE
Congelateur;1467.1;ARMOIRE
Congelateur;1266.0;ARMOIRE
Congelateur;1158.1;ARMOIRE
Congelateur;890.5;ARMOIRE
Congelateur;790.9;ARMOIRE
Congelateur;760.2;ARMOIRE
Congelateur;622.4;ARMOIRE
Congelateur;610.3;ARMOIRE
Congelateur;607.1;ARMOIRE
Congelateur;538.7;ARMOIRE
Congelateur;530.9;ARMOIRE
Congelateur;527.9;ARMOIRE
Congelateur;521.2;ARMOIRE
Congelateur;480.2;ARMOIRE
Congelateur;476.6;ARMOIRE
Congelateur;459.5;ARMOIRE
Congelateur;427.5;ARMOIRE
Congelateur;407.4;ARMOIRE
Congelateur;363.4;ARMOIRE
Congelateur;324.7;ARMOIRE
Congelateur;319.5;ARMOIRE
Congelateur;317.9;ARMOIRE
Congelateur;316.5;ARMOIRE
Congelateur;241.0;ARMOIRE
Congelateur;235.4;ARMOIRE
Congelateur;207.3;ARMOIRE
Congelateur;189.0;ARMOIRE
Sante;121.5;APNESOMMEIL
Sante;50.0;APNESOMMEIL
